id,True,Pred
Jan Mommaert,Jan Mommaert,Florimond van Duyse
"R.J. de Nerée, P.C. Hooft, C.G. Plemp","R.J. de Nerée, P.C. Hooft, C.G. Plemp",Christianus Vermeulen
Jan Jansz. Starter,Jan Jansz. Starter,Jacob Cats
"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz","Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz",Philips van Marnix
Jan Mommaert,Jan Mommaert,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
Hendrik Rintjes,Hendrik Rintjes,Dirk Rafaelsz. Camphuysen
Christianus Vermeulen,Christianus Vermeulen,Jan van Hoogstraten
E. Pels de Jonge,E. Pels de Jonge,G.A. Bredero
Gerrit Manheer,Gerrit Manheer,Jakobus Rosseau
Matthijs de Castelein,Matthijs de Castelein,Karel van Mander
J.F. Willems,J.F. Willems,Jacob Claesz
Florimond van Duyse,Florimond van Duyse,Carolus Tuinman
"Pieter IJsbrand van der Hof, C. Groenveld, C.G. Kleyn","Pieter IJsbrand van der Hof, C. Groenveld, C.G. Kleyn",J.Z. Baron
Pieter Nootmans,Pieter Nootmans,Gerrit Hendricksz. van Breughel
Claes Stapel,Claes Stapel,Jan van der Veen
Tjaert Sonnema,Tjaert Sonnema,Samuel Ampzing
Hieronymus van Alphen,Hieronymus van Alphen,Anthony Jansen
"Pieter IJsbrand van der Hof, C. Groenveld, C.G. Kleyn","Pieter IJsbrand van der Hof, C. Groenveld, C.G. Kleyn",Carolus Tuinman
Hermanus van den Burg,Hermanus van den Burg,Andries Pels
Herman Harts,Herman Harts,Anthony Jansen
Jan Mommaert,Jan Mommaert,Daniel Bellemans
Jan Zoet,Jan Zoet,Alle Dercks
Pieter Dubbels,Pieter Dubbels,"A.J. Dekker, Marie van Dijk"
Frans de Cort,Frans de Cort,Cornelis Sweerts
Jan Jansz. Deutel,Jan Jansz. Deutel,Karel van Mander
Js. M. Pfeil,Js. M. Pfeil,Hieronymus van Alphen
Jan Jansz. Deutel,Jan Jansz. Deutel,Godfried Bussé
Aegidius Haeffacker,Aegidius Haeffacker,Jacobus de Ruyter
Peeter de Vleeschoudere,Peeter de Vleeschoudere,Joannes van Sambeeck
Godfried Bussé,Godfried Bussé,Joannes Mys
C. J. Wits,C. J. Wits,David Joris
Hieronymus van Alphen,Hieronymus van Alphen,Jan Luyken
Jodocus van Lodenstein,Jodocus van Lodenstein,Johan Deknatel
Hendrik Rintjes,Hendrik Rintjes,Cornelis de Leeuw
Cornelis Maertsz.,Cornelis Maertsz.,Anthony Jansen
Jan van Hoogstraten,Jan van Hoogstraten,Abdias Velingius
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier","Petrus Suetmans, Eustachius de Meyer"
Gerrit Manheer,Gerrit Manheer,Rutger Schutte
C.P. van Wesbusch,C.P. van Wesbusch,Joannes Mys
Guilielmus Bolognino,Guilielmus Bolognino,Cornelis de Leeuw
Hendrik Uilenbroek,Hendrik Uilenbroek,Jan van Eijk
"Petrus Suetmans, Eustachius de Meyer","Petrus Suetmans, Eustachius de Meyer",Livinus van der Minnen
Guillaume Abrahams Ooijevaer,Guillaume Abrahams Ooijevaer,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
F.A. Snellaert,F.A. Snellaert,Frans de Cort
D.V. Coornhert,D.V. Coornhert,"Antoine Mahaut, Kornelis Elzevier"
Volkerus van Oosterwyck,Volkerus van Oosterwyck,Marijn de Brauwer
Boudewijn Jansen Wellens,Boudewijn Jansen Wellens,Karel van Mander
Johan van Heemskerck,Johan van Heemskerck,Willem Sluiter
Frank A. Metaal,Frank A. Metaal,Aegidius Haeffacker
Thomas Fonteyn,Thomas Fonteyn,C.P. van Wesbusch
Arnold Bon,Arnold Bon,Lucas de Heere
Joan Ysermans,Joan Ysermans,Zacharias Heyns
Jan van der Veen,Jan van der Veen,Jacob Steendam
"Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen","Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen",G.A. Bredero
Dirck Pietersz Pers,Dirck Pietersz Pers,Joannes Stalpaert van der Wiele
Thomas Fonteyn,Thomas Fonteyn,Franciscus Ridderus
Willem Sluiter,Willem Sluiter,Jacob Rosant
Marijn de Brauwer,Marijn de Brauwer,Jacob Westerbaen
Philippus van Sorgen,Philippus van Sorgen,Jodocus van Lodenstein
Jan Jansz. Deutel,Jan Jansz. Deutel,Jacobus de Ruyter
G.A. Bredero,G.A. Bredero,"Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen"
Franciscus Ridderus,Franciscus Ridderus,Alle Dercks
Jan Jansz. Orlers,Jan Jansz. Orlers,Joannes Mys
J. Smeerbol,J. Smeerbol,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
Femme Gerbrantsz Drieduym,Femme Gerbrantsz Drieduym,"B. Targier, Anthony Jansen"
W.J. van Zeggelen,W.J. van Zeggelen,Js. M. Pfeil
"Antoine Mahaut, Kornelis Elzevier","Antoine Mahaut, Kornelis Elzevier",Augustinus van Teylingen
"Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen","Willem Dirckszoon Hooft, Jan Jansz. Starter, Jacob Westerbaen",Reynier Rooleeuw
Frank A. Metaal,Frank A. Metaal,Jacobus de Ruyter
"B. Targier, Anthony Jansen","B. Targier, Anthony Jansen",Js. M. Pfeil
Pieter de Vos,Pieter de Vos,Joannes Stalpaert van der Wiele
Michiel Vlack,Michiel Vlack,Florimond van Duyse
G.A. Bredero,G.A. Bredero,Pieter Lenaerts van der Goes
Jacob Westerbaen,Jacob Westerbaen,Jacobus de Ruyter
Dirck Pietersz Pers,Dirck Pietersz Pers,Christianus Vermeulen
Jacob Brouwer,Jacob Brouwer,Pieter de Vos
Anthony Jansen,Anthony Jansen,Willem Sluiter
Willem de Swaen,Willem de Swaen,Franciscus Ridderus
Jacobus de Ruyter,Jacobus de Ruyter,Boudewijn Jansen Wellens
Hendrik Uilenbroek,Hendrik Uilenbroek,Claes Stapel
Jacob Cats,Jacob Cats,Livinus van der Minnen
Jan Pieter Heije,Jan Pieter Heije,Carolus Tuinman
Dirck Pietersz Pers,Dirck Pietersz Pers,Albertus Buitendyck
Leenaert Clock,Leenaert Clock,Karel van Mander
Joannes Six van Chandelier,Joannes Six van Chandelier,Herman Harts
Christianus Vermeulen,Christianus Vermeulen,Anthony Jansen
Thomas Fonteyn,Thomas Fonteyn,Albertus Buitendyck
Johanna de Gavre,Johanna de Gavre,Godfried Bussé
Frans de Cort,Frans de Cort,Florimond van Duyse
Willem Sluiter,Willem Sluiter,J.W. Lustig
Gerrit Manheer,Gerrit Manheer,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
Aegidius Haeffacker,Aegidius Haeffacker,Justus de Harduwijn
Jan van Eijk,Jan van Eijk,Frans de Cort
Jan van der Veen,Jan van der Veen,Jan Pieter Heije
Hugo de Groot,Hugo de Groot,Gaudentius van Loemel
Arnold Bon,Arnold Bon,Dirk Rafaelsz. Camphuysen
Joost van den Vondel,Joost van den Vondel,Albertus Buitendyck
Philippus van Sorgen,Philippus van Sorgen,Franciscus Ridderus
Hendrik Riemsnijder,Hendrik Riemsnijder,Abdias Velingius
Joannes Vollenhove,Joannes Vollenhove,Joannes Six van Chandelier
Jan van der Veen,Jan van der Veen,Jan Pieter Heije
"Pieter IJsbrand van der Hof, C. Groenveld, C.G. Kleyn","Pieter IJsbrand van der Hof, C. Groenveld, C.G. Kleyn",Carolus Tuinman
Guilelmus van der Borcht,Guilelmus van der Borcht,Cornelis Maertsz.
Claes Stapel,Claes Stapel,Jacob Rosant
Joannes Six van Chandelier,Joannes Six van Chandelier,François Halma
Arnold Bon,Arnold Bon,Jacob Cats
Arnold Bon,Arnold Bon,Guillaume Abrahams Ooijevaer
C. Rhijnenburgh,C. Rhijnenburgh,Dirk Rafaelsz. Camphuysen
Willem Sluiter,Willem Sluiter,Johan Deknatel
Willem de Swaen,Willem de Swaen,Christianus Vermeulen
Jan Jansz. Orlers,Jan Jansz. Orlers,"B. Targier, Anthony Jansen"
Dirck Pietersz Pers,Dirck Pietersz Pers,Johannes Wilhelmus Bussingh
David Montanus,David Montanus,Hieronymus van Alphen
Frans de Cort,Frans de Cort,"xFrançois Halma, François Halma"
Frans de Cort,Frans de Cort,Jan Pieter Heije
"B. Targier, Anthony Jansen","B. Targier, Anthony Jansen",C.P. van Wesbusch
Johan van Born,Johan van Born,Isaak A. van Vaerlen en Jan Jansz. van Asten
"Karel van Mander, samensteller Karel van Mander","Karel van Mander, samensteller Karel van Mander",Karel van Mander
Joannes de Lixbona,Joannes de Lixbona,Femme Gerbrantsz Drieduym
A. de R. en J.G.,A. de R. en J.G.,Hermanus van den Burg
Jan Mommaert,Jan Mommaert,Jacobus Revius
Cornelis de Bie,Cornelis de Bie,Justus de Harduwijn
Jacob Coenraetsz Mayvogel,Jacob Coenraetsz Mayvogel,Jacob Steendam
Jacob Claesz,Jacob Claesz,Jan Pieter Heije
Aegidius Haeffacker,Aegidius Haeffacker,Jacob Rosant
M. van de Speybroek,M. van de Speybroek,G.A. Bredero
Johannes d' Outrein,Johannes d' Outrein,Alle Dercks
"xFrançois Halma, François Halma","xFrançois Halma, François Halma",J.W. Lustig
Johan Fruytiers,Johan Fruytiers,Joannes Mys
Gaudentius van Loemel,Gaudentius van Loemel,Hendrik Jacobz. Soetenboom
Arnold Bon,Arnold Bon,C. J. Wits
C. J. Wits,C. J. Wits,Hendrik Rintjes
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Gerrit Manheer
Pieter Elsevier,Pieter Elsevier,Joannes Stalpaert van der Wiele
Jacob Coenraetsz Mayvogel,Jacob Coenraetsz Mayvogel,Hendrik Jacobz. Soetenboom
Johan van Born,Johan van Born,Dirck Pietersz Pers
Joannes Six van Chandelier,Joannes Six van Chandelier,Willem Sluiter
Joannes de Lixbona,Joannes de Lixbona,Jacob Cats
Jacob Coenraetsz Meyvogel,Jacob Coenraetsz Meyvogel,Boudewijn Jansen Wellens
anoniem,anoniem,Albertus Ignatius d'Hanins
Pieter de Vos,Pieter de Vos,Jacob Rosant
Arnoldus Cobbault,Arnoldus Cobbault,Arnold Bon
Adriaan Loosjes Pzn.,Adriaan Loosjes Pzn.,Joannes Six van Chandelier
G.A. Bredero,G.A. Bredero,Aernout van Overbeke
Claes Stapel,Claes Stapel,Jan van Hoogstraten
Pieter de Vos,Pieter de Vos,Joannes van Sambeeck
Christianus Vermeulen,Christianus Vermeulen,Jacob Janszoon Colevelt
Jan Luyken,Jan Luyken,Cornelis Maertsz.
Johan van Born,Johan van Born,Hendrik Jacobz. Soetenboom
Jacob Rosant,Jacob Rosant,Dirck Pietersz Pers
Js. M. Pfeil,Js. M. Pfeil,Gerrit Manheer
Abdias Velingius,Abdias Velingius,Carolus Tuinman
Louis van Neste,Louis van Neste,Willem de Swaen
Johannes Stichter,Johannes Stichter,Marijn de Brauwer
Barent Pietersz. Kompas,Barent Pietersz. Kompas,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
Abdias Velingius,Abdias Velingius,"xFrançois Halma, François Halma"
Joannes Cloeck,Joannes Cloeck,Carolus Tuinman
Jacob Carel Willem le Jeune,Jacob Carel Willem le Jeune,Joos Verschuere Reynvaan
H. van Vijfderley,H. van Vijfderley,Jacobus de Ruyter
Florimond van Duyse,Florimond van Duyse,Carolus Tuinman
anoniem,anoniem,"B. Targier, Anthony Jansen"
Henricus Costerius,Henricus Costerius,Karel van Mander
J.F. Willems,J.F. Willems,Florimond van Duyse
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Claes Stapel
C. J. Wits,C. J. Wits,Willem de Swaen
Jan Jansz. Deutel,Jan Jansz. Deutel,Guilielmus Bolognino
Jacobus Revius,Jacobus Revius,Joannes van Sambeeck
Willem Sluiter,Willem Sluiter,Florimond van Duyse
Joan Ysermans,Joan Ysermans,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
Philippus van Sorgen,Philippus van Sorgen,Jacobus Revius
Jacob Coenraetsz Mayvogel,Jacob Coenraetsz Mayvogel,Pieter de Vos
Jan Pieter Heije,Jan Pieter Heije,Carolus Tuinman
Johannes Hazeu Cornelisz. en Dirk van der Reijden,Johannes Hazeu Cornelisz. en Dirk van der Reijden,Joos Verschuere Reynvaan
Hieronymus van Alphen,Hieronymus van Alphen,Willem de Swaen
Jan Pieter Heije,Jan Pieter Heije,Florimond van Duyse
Livinus van der Minnen,Livinus van der Minnen,Jan Pieter Heije
Leenaert Clock,Leenaert Clock,Karel van Mander
"Karel van Mander, samensteller Karel van Mander","Karel van Mander, samensteller Karel van Mander",Karel van Mander
Jan Utenhove,Jan Utenhove,Hendrik Rintjes
Hendrik Rintjes,Hendrik Rintjes,Jan Jansz. Deutel
Philippus Jennyn,Philippus Jennyn,Karel van Mander
Florimond van Duyse,Florimond van Duyse,Jakobus Rosseau
Joan Ysermans,Joan Ysermans,Gerrit Hendricksz. van Breughel
Gerrit Manheer,Gerrit Manheer,Claes Stapel
Jan van Hoogstraten,Jan van Hoogstraten,Claes Stapel
Claes Stapel,Claes Stapel,Jan Pieter Heije
Joan Blasius,Joan Blasius,Claes Stapel
Joost van den Vondel,Joost van den Vondel,Dirk Rafaelsz. Camphuysen
Aegidius Haeffacker,Aegidius Haeffacker,Jan Pieter Heije
Jan Jansz. Starter,Jan Jansz. Starter,Philippus Jennyn
Henricus Costerius,Henricus Costerius,Rumoldus Batavus
Frans de Cort,Frans de Cort,Jan Pieter Heije
Dirk Rafaelsz. Camphuysen,Dirk Rafaelsz. Camphuysen,Albertus Buitendyck
Boudewijn Jansen Wellens,Boudewijn Jansen Wellens,Cornelis Stribeé
Jan Pieter Heije,Jan Pieter Heije,Jodocus van Lodenstein
"xFrançois Halma, François Halma","xFrançois Halma, François Halma",Abdias Velingius
Jacobus Revius,Jacobus Revius,François Halma
Pieter Nootmans,Pieter Nootmans,Dirk Rafaelsz. Camphuysen
Michiel Vlack,Michiel Vlack,Adriaan Loosjes Pzn.
Hermanus van den Burg,Hermanus van den Burg,Gerrit Hendricksz. van Breughel
Hendrik Riemsnijder,Hendrik Riemsnijder,Jacob Cats
Cornelis Maertsz.,Cornelis Maertsz.,Jacob Coenraetsz Mayvogel
Hendrik van Boxtel,Hendrik van Boxtel,Johan Fruytiers
Aegidius Haeffacker,Aegidius Haeffacker,Hendrik van Boxtel
Jacob Janszoon Colevelt,Jacob Janszoon Colevelt,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
Joost van den Vondel,Joost van den Vondel,Lambert de Visscher
Dirck Pietersz Pers,Dirck Pietersz Pers,Joost van den Vondel
Frank A. Metaal,Frank A. Metaal,Hendrik Jacobz. Soetenboom
Aegidius Haeffacker,Aegidius Haeffacker,Joannes Stalpaert van der Wiele
Cornelis de Leeuw,Cornelis de Leeuw,D.V. Coornhert
Christianus de Placker,Christianus de Placker,M. van de Speybroek
Carolus Tuinman,Carolus Tuinman,Betje Wolff en Aagje Deken
"B. Targier, Anthony Jansen","B. Targier, Anthony Jansen",Jan Pieter Heije
Philippus van Sorgen,Philippus van Sorgen,Jacobus de Ruyter
E. Pels de Jonge,E. Pels de Jonge,Guillaume Abrahams Ooijevaer
F.A. Snellaert,F.A. Snellaert,Florimond van Duyse
J.W. Lustig,J.W. Lustig,Hieronymus van Alphen
Pieter Sterlincx,Pieter Sterlincx,Pieter Datheen
M. van de Speybroek,M. van de Speybroek,Hendrik Jacobz. Soetenboom
Joan Blasius,Joan Blasius,G.A. Bredero
Js. M. Pfeil,Js. M. Pfeil,Jan Pieter Heije
Roelant de Kater,Roelant de Kater,Johan Deknatel
Hendrik Rintjes,Hendrik Rintjes,Anthony Jansen
Aagje Deken en Klaas van der Horst,Aagje Deken en Klaas van der Horst,Jan Pieter Heije
Arnold Bon,Arnold Bon,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
Katharina Wilhelmina Bilderdijk-Schweickhardt,Katharina Wilhelmina Bilderdijk-Schweickhardt,Johannes Wilhelmus Bussingh
Johan van Born,Johan van Born,H. van Vijfderley
Willem de Swaen,Willem de Swaen,Christianus Vermeulen
J.F. Willems,J.F. Willems,Florimond van Duyse
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Joos Verschuere Reynvaan
Aegidius Haeffacker,Aegidius Haeffacker,Herman Harts
Justus de Harduwijn,Justus de Harduwijn,Jacobus de Ruyter
J.F. Willems,J.F. Willems,Florimond van Duyse
Abdias Velingius,Abdias Velingius,Johan Deknatel
Pieter de Vos,Pieter de Vos,Gerrit Manheer
Livinus van der Minnen,Livinus van der Minnen,Daniel Bellemans
C. J. Wits,C. J. Wits,Christianus Vermeulen
Florimond van Duyse,Florimond van Duyse,Jan Pieter Heije
"xFrançois Halma, François Halma","xFrançois Halma, François Halma",Abdias Velingius
Cornelis Stribeé,Cornelis Stribeé,Cornelis Maertsz.
"Karel van Mander, samensteller Karel van Mander","Karel van Mander, samensteller Karel van Mander",Karel van Mander
F. Verloo,F. Verloo,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
Jan van Hoogstraten,Jan van Hoogstraten,Claes Stapel
Thomas Fonteyn,Thomas Fonteyn,Hendrik Jacobz. Soetenboom
J. Vriend,J. Vriend,Leonardus Gouwerak
Hendrik Rintjes,Hendrik Rintjes,Leenaert Clock
Zacharias Heyns,Zacharias Heyns,Karel van Mander
Gerrit Manheer,Gerrit Manheer,Pieter Dubbels
Franciscus Ridderus,Franciscus Ridderus,Christianus Vermeulen
Michiel Vlack,Michiel Vlack,Claes Stapel
"R.J. de Nerée, P.C. Hooft, C.G. Plemp","R.J. de Nerée, P.C. Hooft, C.G. Plemp","B. Targier, Anthony Jansen"
Jacob Coenraetsz Mayvogel,Jacob Coenraetsz Mayvogel,Johan van Born
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Frank A. Metaal
Johan Deknatel,Johan Deknatel,Carolus Tuinman
Johannes Hazeu Cornelisz. en Dirk van der Reijden,Johannes Hazeu Cornelisz. en Dirk van der Reijden,Carolus Tuinman
Arnold Bon,Arnold Bon,J. Tradel
Cornelis Sweerts,Cornelis Sweerts,Jan Pieter Heije
Carolus Tuinman,Carolus Tuinman,Hendrik Uilenbroek
Reynier Rooleeuw,Reynier Rooleeuw,Carolus Tuinman
Albertus Buitendyck,Albertus Buitendyck,Johan Deknatel
Joan Ysermans,Joan Ysermans,Augustinus van Teylingen
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Hendrick Jansz. Prins
David Joris,David Joris,Johan Fruytiers
Daniel Bellemans,Daniel Bellemans,"Petrus Suetmans, Eustachius de Meyer"
Jacob Rosant,Jacob Rosant,"Antoine Mahaut, Kornelis Elzevier"
Hendrik Jacobz. Soetenboom,Hendrik Jacobz. Soetenboom,Philippus Jennyn
Philippus Jongheryx,Philippus Jongheryx,Livinus van der Minnen
Isaak A. van Vaerlen en Jan Jansz. van Asten,Isaak A. van Vaerlen en Jan Jansz. van Asten,Joannes Stalpaert van der Wiele
Albertus Buitendyck,Albertus Buitendyck,Joannes van Sambeeck
Abdias Velingius,Abdias Velingius,Willem Sluiter
Gaudentius van Loemel,Gaudentius van Loemel,Pieter van Gelre
Johanna de Gavre,Johanna de Gavre,Gerrit Hendricksz. van Breughel
Johannes Stichter,Johannes Stichter,Pieter de Vos
Cornelis Stribeé,Cornelis Stribeé,Arnold Bon
Willem Sluiter,Willem Sluiter,Hieronymus van Alphen
Hendrick Jansz. Prins,Hendrick Jansz. Prins,C.P. van Wesbusch
"Volkerus van Oosterwyck, Volckerus van Oosterwyck","Volkerus van Oosterwyck, Volckerus van Oosterwyck",Karel van Mander
Jan Luyken,Jan Luyken,Jan Pieter Heije
"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz","Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz","Antoine Mahaut, Kornelis Elzevier"
Leenaert Clock,Leenaert Clock,Franciscus Ridderus
Franciscus Ridderus,Franciscus Ridderus,Dirk Rafaelsz. Camphuysen
Jan van der Veen,Jan van der Veen,Frans de Cort
Jacobus Revius,Jacobus Revius,Willem de Swaen
Philippus Jennyn,Philippus Jennyn,Gysbert Japicx
Hendrik Rintjes,Hendrik Rintjes,Gerrit Hendricksz. van Breughel
Philips van Marnix,Philips van Marnix,Philips van Marnix van Sint Aldegonde
Joannes van Dyck,Joannes van Dyck,Dirck Pietersz Pers
Johan van Born,Johan van Born,Cornelis Maertsz.
Arnold Bon,Arnold Bon,Pieter Lenaerts van der Goes
J.H.C. Venman,J.H.C. Venman,Jan Pieter Heije
Leenaert Clock,Leenaert Clock,Jacob Claesz
"Petrus Suetmans, Eustachius de Meyer","Petrus Suetmans, Eustachius de Meyer",Daniel Bellemans
Hendrik Rintjes,Hendrik Rintjes,Leenaert Clock
J.F. Willems,J.F. Willems,Florimond van Duyse
Jacob Janszoon Colevelt,Jacob Janszoon Colevelt,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
Jacobus de Ruyter,Jacobus de Ruyter,Christianus de Placker
Claes Stapel,Claes Stapel,Gerrit Manheer
Arnold Bon,Arnold Bon,Albertus Buitendyck
F. Verloo,F. Verloo,Pieter Elsevier
Mattheus Gargon,Mattheus Gargon,Carolus Tuinman
Hendrik van Boxtel,Hendrik van Boxtel,"Petrus Suetmans, Eustachius de Meyer"
Franciscus Ridderus,Franciscus Ridderus,Jacob Coenraetsz Mayvogel
Femme Gerbrantsz Drieduym,Femme Gerbrantsz Drieduym,Philippus van Sorgen
Hendrik Rintjes,Hendrik Rintjes,Karel van Mander
Abdias Velingius,Abdias Velingius,Hieronymus van Alphen
Hieronymus van Alphen,Hieronymus van Alphen,"Jan Steven van Esveldt Holtrop, Willem Holtrop"
Herman Ockes,Herman Ockes,J. Sent
Thomas Fonteyn,Thomas Fonteyn,Dirk Rafaelsz. Camphuysen
Jan Thieullier,Jan Thieullier,J.F. Willems
Jacob Steendam,Jacob Steendam,Carolus Tuinman
Jan Gerritse Wondergem,Jan Gerritse Wondergem,Carolus Tuinman
Cornelis de Leeuw,Cornelis de Leeuw,Aegidius Haeffacker
C.P. van Wesbusch,C.P. van Wesbusch,Jacobus de Ruyter
Pieter de Vos,Pieter de Vos,Jacob Coenraetsz Mayvogel
Cornelis Maertsz.,Cornelis Maertsz.,Aagje Deken en Klaas van der Horst
Florimond van Duyse,Florimond van Duyse,"Anthonis de Hubert, Antonis de Hubert"
Johan Deknatel,Johan Deknatel,Js. M. Pfeil
Christianus de Placker,Christianus de Placker,Dirck Pietersz Pers
Thomas Fonteyn,Thomas Fonteyn,Jacob Coenraetsz Mayvogel
Livinus van der Minnen,Livinus van der Minnen,"Petrus Suetmans, Eustachius de Meyer"
Jacob Coenraetsz Meyvogel,Jacob Coenraetsz Meyvogel,Guilielmus Bolognino
Hermanus van den Burg,Hermanus van den Burg,Hendrik Riemsnijder
Jacob Janszoon Colevelt,Jacob Janszoon Colevelt,C. J. Wits
"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz","Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz",C. J. Wits
Hermanus van den Burg,Hermanus van den Burg,Jakobus Rosseau
Hendrik Uilenbroek,Hendrik Uilenbroek,Frans de Cort
Jodocus van Lodenstein,Jodocus van Lodenstein,Claes Stapel
Pieter van Gelre,Pieter van Gelre,Aegidius Haeffacker
Joannes van Dyck,Joannes van Dyck,Jan Mommaert
Jacob Claesz,Jacob Claesz,Matthijs de Castelein
Justus de Harduwijn,Justus de Harduwijn,Augustinus van Teylingen
Augustinus van Teylingen,Augustinus van Teylingen,Justus de Harduwijn
M. van de Speybroek,M. van de Speybroek,Lambert de Visscher
Hendrick Jansz. Prins,Hendrick Jansz. Prins,Pieter van Gelre
Florimond van Duyse,Florimond van Duyse,Peeter de Vleeschoudere
Jacob Rosant,Jacob Rosant,"Ate Doornbosch, Marie van Dijk, Henk Kuijer, Hermine Sterringa"
Joannes Kannewet,Joannes Kannewet,Jan Luyken
Franciscus Ridderus,Franciscus Ridderus,J.F. Willems
"Jan Steven van Esveldt Holtrop, Willem Holtrop","Jan Steven van Esveldt Holtrop, Willem Holtrop",Dirck Pietersz Pers
Frans vander Straten de jongere,Frans vander Straten de jongere,Henricus Costerius
Herman Harts,Herman Harts,Christianus Vermeulen
Daniel Bellemans,Daniel Bellemans,Livinus van der Minnen
Florimond van Duyse,Florimond van Duyse,Leenaert Clock
Haerlem Soetendal,Haerlem Soetendal,Karel van Mander
D. Porcelijn,D. Porcelijn,Florimond van Duyse
Jodocus van Lodenstein,Jodocus van Lodenstein,Dirk Rafaelsz. Camphuysen
Jacobus de Ruyter,Jacobus de Ruyter,Hendrick Jansz. Prins
Jodocus van Lodenstein,Jodocus van Lodenstein,Willem de Swaen
Claas Ganglofs,Claas Ganglofs,Soetken Gerijts
Jacob Claesz,Jacob Claesz,J. Sent
Florimond van Duyse,Florimond van Duyse,J.F. Willems
Jacobus Revius,Jacobus Revius,Joannes van Dyck
Barent Pietersz. Kompas,Barent Pietersz. Kompas,Pieter Lenaerts van der Goes
C. Rhijnenburgh,C. Rhijnenburgh,Jan van der Veen
Carolus Tuinman,Carolus Tuinman,Alle Dercks
Hendrik Uilenbroek,Hendrik Uilenbroek,François Halma
Jacob Janszoon Colevelt,Jacob Janszoon Colevelt,"Jacob Janszoon Colevelt, A. Pietersz. Craen, Matthijs van Velden, Jan Robbertsz"
Florimond van Duyse,Florimond van Duyse,Herman Ockes
Frans de Cort,Frans de Cort,Florimond van Duyse
Tjaert Sonnema,Tjaert Sonnema,"Antoine Mahaut, Kornelis Elzevier"
Willem Sluiter,Willem Sluiter,Jacobus Revius
Jakobus Rosseau,Jakobus Rosseau,Johan Deknatel
Aernout van Overbeke,Aernout van Overbeke,Jan van Hoogstraten
Joannes Kannewet,Joannes Kannewet,Franciscus Ridderus
Cornelis Maertsz.,Cornelis Maertsz.,Claes Stapel
Thomas Fonteyn,Thomas Fonteyn,Pieter Cauwe
Boudewijn Jansen Wellens,Boudewijn Jansen Wellens,Pieter van Gelre
Pieter Nootmans,Pieter Nootmans,Christianus de Placker
Lambert de Visscher,Lambert de Visscher,C. Rhijnenburgh
"Alle Dercks, samensteller Alle Dercks","Alle Dercks, samensteller Alle Dercks",Jan Pieter Heije
Florimond van Duyse,Florimond van Duyse,Jan Thieullier
Hendrik van Boxtel,Hendrik van Boxtel,Frans vander Straten de jongere
Pieter van Gelre,Pieter van Gelre,Guilelmus van der Borcht
Lambert de Visscher,Lambert de Visscher,Christianus de Placker
Betje Wolff en Aagje Deken,Betje Wolff en Aagje Deken,Cornelis Sweerts
Lambert de Visscher,Lambert de Visscher,M. van de Speybroek
J.W. Lustig,J.W. Lustig,"Antoine Mahaut, Kornelis Elzevier"
Jan Pieter Heije,Jan Pieter Heije,Gerrit Manheer
M. van de Speybroek,M. van de Speybroek,Lambert de Visscher
Johan Beets,Johan Beets,Pieter Dubbels
Lambert de Visscher,Lambert de Visscher,Femme Gerbrantsz Drieduym
Christianus Vermeulen,Christianus Vermeulen,Claes Stapel
Johan van Born,Johan van Born,Hendrik Jacobz. Soetenboom
